TIME;GEO;CITIZEN;AGE;SEX;UNIT;Value;Flag and Footnotes
2007;Bulgaria;Syria;Total;Females;Number;;
2007;Czech Republic;Foreign country;Total;Total;Number;296,236;
2007;Czech Republic;Foreign country;Total;Males;Number;177,008;
2007;Czech Republic;Foreign country;Total;Females;Number;119,228;
2007;Czech Republic;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Czech Republic;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Czech Republic;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Czech Republic;Syria;Total;Total;Number;405;
2007;Czech Republic;Syria;Total;Males;Number;307;
2007;Czech Republic;Syria;Total;Females;Number;98;
2007;Denmark;Foreign country;Total;Total;Number;278,096;
2007;Denmark;Foreign country;Total;Males;Number;136,608;
2007;Denmark;Foreign country;Total;Females;Number;141,488;
2007;Denmark;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Denmark;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Denmark;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Denmark;Syria;Total;Total;Number;645;
2007;Denmark;Syria;Total;Males;Number;278;
2007;Denmark;Syria;Total;Females;Number;367;
2007;Germany (until 1990 former territory of the FRG);Foreign country;Total;Total;Number;7,255,949;
2007;Germany (until 1990 former territory of the FRG);Foreign country;Total;Males;Number;3,737,409;
2007;Germany (until 1990 former territory of the FRG);Foreign country;Total;Females;Number;3,518,540;
2007;Germany (until 1990 former territory of the FRG);Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Germany (until 1990 former territory of the FRG);Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Germany (until 1990 former territory of the FRG);Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Germany (until 1990 former territory of the FRG);Syria;Total;Total;Number;30,489;
2007;Germany (until 1990 former territory of the FRG);Syria;Total;Males;Number;17,302;
2007;Germany (until 1990 former territory of the FRG);Syria;Total;Females;Number;13,187;
2007;Estonia;Foreign country;Total;Total;Number;236.4;e
2007;Estonia;Foreign country;Total;Males;Number;;
2007;Estonia;Foreign country;Total;Females;Number;;
2007;Estonia;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Estonia;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Estonia;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Estonia;Syria;Total;Total;Number;;
2007;Estonia;Syria;Total;Males;Number;;
2007;Estonia;Syria;Total;Females;Number;;
2007;Ireland;Foreign country;Total;Total;Number;498,706;b
2007;Ireland;Foreign country;Total;Males;Number;264,929;b
2007;Ireland;Foreign country;Total;Females;Number;233,777;b
2007;Ireland;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Ireland;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Ireland;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Ireland;Syria;Total;Total;Number;150;b
2007;Ireland;Syria;Total;Males;Number;109;b
2007;Ireland;Syria;Total;Females;Number;41;b
2007;Greece;Foreign country;Total;Total;Number;887.6;e
2007;Greece;Foreign country;Total;Males;Number;;
2007;Greece;Foreign country;Total;Females;Number;;
2007;Greece;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Greece;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Greece;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Greece;Syria;Total;Total;Number;;
2007;Greece;Syria;Total;Males;Number;;
2007;Greece;Syria;Total;Females;Number;;
2007;Spain;Foreign country;Total;Total;Number;4,449,431;
2007;Spain;Foreign country;Total;Males;Number;2,370,091;
2007;Spain;Foreign country;Total;Females;Number;2,079,340;
2007;Spain;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Spain;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Spain;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Spain;Syria;Total;Total;Number;;
2007;Spain;Syria;Total;Males;Number;;
2007;Spain;Syria;Total;Females;Number;;
2007;France;Foreign country;Total;Total;Number;3,685,544;e
2007;France;Foreign country;Total;Males;Number;1,896,959;
2007;France;Foreign country;Total;Females;Number;1,788,585;
2007;France;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;France;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;France;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;France;Syria;Total;Total;Number;;
2007;France;Syria;Total;Males;Number;;
2007;France;Syria;Total;Females;Number;;
2007;Croatia;Foreign country;Total;Total;Number;36.2;
2007;Croatia;Foreign country;Total;Males;Number;;
2007;Croatia;Foreign country;Total;Females;Number;;
2007;Croatia;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Croatia;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Croatia;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Croatia;Syria;Total;Total;Number;;
2007;Croatia;Syria;Total;Males;Number;;
2007;Croatia;Syria;Total;Females;Number;;
2007;Italy;Foreign country;Total;Total;Number;2,938,922;
2007;Italy;Foreign country;Total;Males;Number;1,473,073;
2007;Italy;Foreign country;Total;Females;Number;1,465,849;
2007;Italy;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2007;Italy;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2007;Italy;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2007;Italy;Syria;Total;Total;Number;3,348;
2007;Italy;Syria;Total;Males;Number;2,093;
